week,orders,lines,travel_total_km,travel_per_order_m,route_calc_s,aisle_gini,tput_mean_min,tput_p90_min,block_wait_total_h,moves,n_pickers,policy
21,5057,98283,2751.02,544.0023729483884,0.09234905242919922,0.6297292003703591,105.44823960494983,177.876483720561,755.9166142092265,0,25,B1
13,4619,92346,2438.828,527.9991340116909,0.08357501029968262,0.6494439390986074,90.4723002347247,160.16524136700437,663.5151301753592,100,25,A1
14,4926,101294,2656.959,539.3745432399513,0.09036993980407715,0.6478182320769246,114.60951933931975,175.85373585141267,745.760988106486,100,25,A1
15,4428,87184,2348.187,530.3042005420054,0.08005785942077637,0.6501060974490732,86.40437664610069,172.3065662242676,598.7877160817163,100,25,A1
16,5091,106001,2711.358,532.5786682380672,0.09304976463317871,0.6534568070112546,113.85642171449233,177.25995202410607,785.2726896552165,100,25,A1
17,5240,99173,2653.419,506.3776717557252,0.09375834465026855,0.6509279239309086,111.08959722769292,207.74920096468614,780.2013435675643,100,25,A1
18,4195,84527,2216.275,528.3134684147795,0.07640624046325684,0.6624602198114212,86.24129179918354,156.14219313356793,551.8754210467655,99,25,A1
19,5148,98986,2680.144,520.6184926184926,0.09183573722839355,0.6437880104257168,109.74950417466128,185.25907222807297,757.2418910455763,100,25,A1
20,4800,94279,2512.21,523.3770833333333,0.08611106872558594,0.6561050180846212,92.65469892273724,147.43626739794294,698.2075245340269,100,25,A1
21,5057,98283,2683.265,530.6041131105399,0.09167909622192383,0.6446544672018558,104.19734746673834,179.31881452892952,767.5837411493341,100,25,A1
13,4619,92346,2464.158,533.4830049794327,0.08547091484069824,0.6443473458514717,74.45525584808661,135.77902220056183,1313.9280755245281,0,40,B1
14,4926,101294,2691.315,546.3489646772229,0.09095287322998047,0.6423791142614568,95.42925984188933,155.83775778053774,1453.8870583248738,0,40,B1
15,4428,87184,2409.71,544.1982836495032,0.0812687873840332,0.6375567764727473,74.955191146376,169.32283825842862,1198.527214019606,0,40,B1
16,5091,106001,2798.434,549.6825770968376,0.09395813941955566,0.6393970339902454,97.92470355268013,156.99023512578086,1606.3306764407746,0,40,B1
17,5240,99173,2742.974,523.468320610687,0.09886407852172852,0.6325035543948454,85.04295063226117,159.94843027420714,1456.7519641596448,0,40,B1
18,4195,84527,2298.953,548.0221692491061,0.07908511161804199,0.6418697575922486,77.18184203489028,156.25481477185113,1124.5443747547,0,40,B1
19,5148,98986,2756.013,535.3560606060606,0.09430456161499023,0.6283449174630756,89.4074829549686,163.59864563332184,1463.2779567969362,0,40,B1
20,4800,94279,2617.782,545.37125,0.09258532524108887,0.6370907094899182,74.93107960336141,129.5474902054577,1373.608345326085,0,40,B1
21,5057,98283,2751.02,544.0023729483884,0.09438395500183105,0.6297292003703591,79.77195765591004,133.14904131447977,1440.6935962753303,0,40,B1
13,4619,92346,2438.828,527.9991340116909,0.08347225189208984,0.6494439390986074,69.61650051176854,127.12959044673481,1259.94601495698,100,40,A1
14,4926,101294,2656.959,539.3745432399513,0.091705322265625,0.6478182320769246,97.66027900533555,163.38772860883256,1507.9986220530493,100,40,A1
15,4428,87184,2348.187,530.3042005420054,0.08053803443908691,0.6501060974490732,66.58652414547014,134.6619234534764,1161.6984149617585,100,40,A1
16,5091,106001,2711.358,532.5786682380672,0.09099960327148438,0.6534568070112546,88.46113692805662,147.04121160644766,1553.61697206536,100,40,A1
17,5240,99173,2653.419,506.3776717557252,0.09385991096496582,0.6509279239309086,74.36823952966714,144.30674586449092,1412.9678755886537,100,40,A1
18,4195,84527,2216.275,528.3134684147795,0.07625508308410645,0.6624602198114212,70.70658705752605,137.1809075417678,1073.2613297745563,99,40,A1
19,5148,98986,2680.144,520.6184926184926,0.09193253517150879,0.6437880104257168,84.04741812077937,143.48914382766006,1466.3114671873113,100,40,A1
20,4800,94279,2512.21,523.3770833333333,0.08708357810974121,0.6561050180846212,77.28168036289064,136.9473605865538,1417.5193259354744,100,40,A1
21,5057,98283,2683.265,530.6041131105399,0.0915071964263916,0.6446544672018558,75.93570831653444,129.91913415212926,1459.431222247627,100,40,A1
13,4619,92346,2464.158,533.4830049794327,0.08438873291015625,0.6443473458514717,68.11330360046908,127.34944513934744,1691.5788766013686,0,50,B1
14,4926,101294,2691.315,546.3489646772229,0.09058427810668945,0.6423791142614568,91.53278280062874,149.20477596273656,1979.406929373858,0,50,B1
15,4428,87184,2409.71,544.1982836495032,0.08234477043151855,0.6375567764727473,77.04344765447155,164.87587447994807,1645.4927354039996,0,50,B1
16,5091,106001,2798.434,549.6825770968376,0.09352874755859375,0.6393970339902454,91.67828066236827,153.50619523779412,2117.0488453818075,0,50,B1
17,5240,99173,2742.974,523.468320610687,0.09495043754577637,0.6325035543948454,78.15999939238905,159.23621487888516,1884.0352684917032,0,50,B1
18,4195,84527,2298.953,548.0221692491061,0.08004593849182129,0.6418697575922486,72.9351858201426,140.0271857128436,1436.1938862854429,0,50,B1
19,5148,98986,2756.013,535.3560606060606,0.10432839393615723,0.6283449174630756,81.15187415127296,153.83447211291426,1940.2992085607723,0,50,B1
20,4800,94279,2617.782,545.37125,0.08940339088439941,0.6370907094899182,75.55532062416081,132.07213588509714,1863.9816664237528,0,50,B1
21,5057,98283,2751.02,544.0023729483884,0.09235763549804688,0.6297292003703591,75.79112881155272,135.2937155594708,1910.4105476038048,0,50,B1
13,4619,92346,2438.828,527.9991340116909,0.08509063720703125,0.6494439390986074,66.37391137897367,140.77172514577924,1673.6167699400035,100,50,A1
14,4926,101294,2656.959,539.3745432399513,0.09108495712280273,0.6478182320769246,88.73848155101913,160.59467511011536,1948.2007643458242,100,50,A1
15,4428,87184,2348.187,530.3042005420054,0.08107924461364746,0.6501060974490732,58.79613086825048,120.15064013843471,1443.3380128963215,100,50,A1
16,5091,106001,2711.358,532.5786682380672,0.09438037872314453,0.6534568070112546,71.59071935726966,120.96902384664814,1961.1472471270326,100,50,A1
17,5240,99173,2653.419,506.3776717557252,0.09389138221740723,0.6509279239309086,73.19960281412251,152.38234551303444,1824.667167844255,100,50,A1
18,4195,84527,2216.275,528.3134684147795,0.0767214298248291,0.6624602198114212,66.69471346409553,130.48451295642045,1393.9550247099044,99,50,A1
19,5148,98986,2680.144,520.6184926184926,0.09341788291931152,0.6437880104257168,76.52224901202496,141.32096278332972,1905.0879303352253,100,50,A1
20,4800,94279,2512.21,523.3770833333333,0.08587980270385742,0.6561050180846212,73.75133701545332,131.31690014650562,1841.2456465033686,100,50,A1
21,5057,98283,2683.265,530.6041131105399,0.09084463119506836,0.6446544672018558,68.95609732903569,120.2874403900043,1888.0734426014499,100,50,A1
