week,orders,lines,travel_total_km,travel_per_order_m,route_calc_s,aisle_gini,tput_mean_min,tput_p90_min,block_wait_total_h,policy,moves,opt_time_s,cell,factor,level
16,5091,106001,3158.46,620.4007071302298,0.08476138114929199,0.6010290334188222,,,,B1,0,0.0,aisleL+,aisle_len,+50%
17,5240,99173,3132.168,597.7419847328244,0.11521077156066895,0.5933689469051916,,,,B1,0,0.0,aisleL+,aisle_len,+50%
18,4195,84527,2628.774,626.6445768772348,0.07639241218566895,0.600740845275136,,,,B1,0,0.0,aisleL+,aisle_len,+50%
19,5148,98986,3122.958,606.6351981351982,0.08885526657104492,0.5885637507179947,,,,B1,0,0.0,aisleL+,aisle_len,+50%
20,4800,94279,2993.958,623.74125,0.08390307426452637,0.5961807128689467,,,,B1,0,0.0,aisleL+,aisle_len,+50%
21,5057,98283,3147.912,622.4860589282183,0.08588147163391113,0.5893989078186752,,,,B1,0,0.0,aisleL+,aisle_len,+50%
13,4619,92346,2766.528,598.9452262394458,0.0783689022064209,0.6094756985374878,,,,A1,100,7.96,aisleL+,aisle_len,+50%
14,4926,101294,3022.452,613.5712545676005,0.08682036399841309,0.607655509140296,,,,A1,100,5.52,aisleL+,aisle_len,+50%
15,4428,87184,2701.746,610.150406504065,0.07598757743835449,0.6111901266287392,,,,A1,100,5.59,aisleL+,aisle_len,+50%
16,5091,106001,3089.112,606.7790218031821,0.08431339263916016,0.6134049274467761,,,,A1,100,5.43,aisleL+,aisle_len,+50%
17,5240,99173,3004.914,573.4568702290077,0.08586668968200684,0.6109010805072234,,,,A1,100,5.14,aisleL+,aisle_len,+50%
18,4195,84527,2523.288,601.4989272943981,0.07159590721130371,0.6175503516205304,,,,A1,100,5.2,aisleL+,aisle_len,+50%
19,5148,98986,3020.838,586.7983682983682,0.08420085906982422,0.6057422261733982,,,,A1,100,5.08,aisleL+,aisle_len,+50%
20,4800,94279,2874.576,598.87,0.08114886283874512,0.6152661628934182,,,,A1,100,5.59,aisleL+,aisle_len,+50%
21,5057,98283,3012.858,595.7797112912795,0.08366966247558594,0.6095629821172387,,,,A1,100,5.14,aisleL+,aisle_len,+50%
13,4619,92346,2432.157,526.5548820090929,0.07738184928894043,0.6092711108223421,,,,B1,0,0.0,depotC,depot,center
14,4926,101294,2631.461,534.198335363378,0.08289003372192383,0.6082749225028136,,,,B1,0,0.0,depotC,depot,center
15,4428,87184,2374.868,536.3297199638663,0.08115458488464355,0.6053518994310882,,,,B1,0,0.0,depotC,depot,center
16,5091,106001,2749.622,540.09467688077,0.08663320541381836,0.6052063188083131,,,,B1,0,0.0,depotC,depot,center
17,5240,99173,2699.196,515.1137404580153,0.0996251106262207,0.5991870267108992,,,,B1,0,0.0,depotC,depot,center
18,4195,84527,2273.736,542.0109654350417,0.07311606407165527,0.6048064523761638,,,,B1,0,0.0,depotC,depot,center
19,5148,98986,2721.631,528.6773504273505,0.08672213554382324,0.5913068514739458,,,,B1,0,0.0,depotC,depot,center
20,4800,94279,2589.442,539.4670833333333,0.08262848854064941,0.6023650547842043,,,,B1,0,0.0,depotC,depot,center
21,5057,98283,2709.49,535.789994067629,0.08531379699707031,0.5941360662576437,,,,B1,0,0.0,depotC,depot,center
13,4619,92346,2425.714,525.1599913401169,0.07757425308227539,0.6119241764667663,,,,A1,100,5.2,depotC,depot,center
14,4926,101294,2624.663,532.818311002842,0.08229827880859375,0.6114187414851817,,,,A1,100,4.98,depotC,depot,center
15,4428,87184,2352.892,531.3667570009034,0.08342552185058594,0.6136131629656818,,,,A1,100,5.62,depotC,depot,center
16,5091,106001,2717.248,533.7356118640738,0.08614826202392578,0.6153750908010301,,,,A1,99,5.4,depotC,depot,center
17,5240,99173,2644.828,504.73816793893127,0.0870659351348877,0.6100639791072167,,,,A1,100,5.31,depotC,depot,center
18,4195,84527,2235.899,532.9914183551847,0.07070016860961914,0.6157284063080436,,,,A1,100,5.54,depotC,depot,center
19,5148,98986,2674.264,519.4763014763015,0.08684635162353516,0.604863819125937,,,,A1,99,5.2,depotC,depot,center
20,4800,94279,2498.545,520.5302083333333,0.07993698120117188,0.6220035744969717,,,,A1,100,5.72,depotC,depot,center
21,5057,98283,2656.284,525.2687364049832,0.08708858489990234,0.6080128302961855,,,,A1,100,5.28,depotC,depot,center
13,4619,92346,2049.426,443.6947391210219,0.08893465995788574,0.6514266995863384,,,,B1,0,0.0,pitch-,pitch,0.8
14,4926,101294,2224.3392000000003,451.55079171741784,0.16542434692382812,0.6534414674116927,,,,B1,0,0.0,pitch-,pitch,0.8
15,4428,87184,2007.4176,453.34634146341466,0.11967968940734863,0.6481665213800697,,,,B1,0,0.0,pitch-,pitch,0.8
16,5091,106001,2326.0392,456.8923983500295,0.1023247241973877,0.649118640390185,,,,B1,0,0.0,pitch-,pitch,0.8
17,5240,99173,2280.0612,435.12618320610693,0.11452007293701172,0.6404764905770723,,,,B1,0,0.0,pitch-,pitch,0.8
18,4195,84527,1905.5436000000002,454.241620977354,0.08496427536010742,0.6534063080435837,,,,B1,0,0.0,pitch-,pitch,0.8
19,5148,98986,2303.5284,447.4608391608392,0.10339832305908203,0.6386741559412442,,,,B1,0,0.0,pitch-,pitch,0.8
20,4800,94279,2190.6755999999996,456.3907499999999,0.14191246032714844,0.6470913458988746,,,,B1,0,0.0,pitch-,pitch,0.8
21,5057,98283,2292.6612,453.363891635357,0.09633731842041016,0.6418660907786697,,,,B1,0,0.0,pitch-,pitch,0.8
13,4619,92346,2031.8808000000001,439.8962546005629,0.09298276901245117,0.6570793537348667,,,,A1,100,5.09,pitch-,pitch,0.8
14,4926,101294,2210.0856,448.6572472594397,0.09149408340454102,0.6586298299998026,,,,A1,100,4.93,pitch-,pitch,0.8
15,4428,87184,1988.2727999999997,449.02276422764226,0.08300948143005371,0.6577365112864746,,,,A1,100,5.13,pitch-,pitch,0.8
16,5091,106001,2298.8832,451.5582793164408,0.10158848762512207,0.6610015471552155,,,,A1,100,5.23,pitch-,pitch,0.8
17,5240,99173,2236.2563999999998,426.7664885496183,0.09693431854248047,0.6589043892995069,,,,A1,100,5.34,pitch-,pitch,0.8
18,4195,84527,1868.9436,445.5169487485102,0.07813858985900879,0.6707315414009725,,,,A1,100,5.16,pitch-,pitch,0.8
19,5148,98986,2255.928,438.2144522144522,0.0967562198638916,0.6536267755036066,,,,A1,100,6.73,pitch-,pitch,0.8
20,4800,94279,2105.8704,438.72299999999996,0.08879542350769043,0.6681951972337424,,,,A1,100,4.99,pitch-,pitch,0.8
21,5057,98283,2239.3044000000004,442.8128139212973,0.09584283828735352,0.6584422026189677,,,,A1,100,4.82,pitch-,pitch,0.8
13,4619,92346,2927.6025,633.8173847153064,0.08561158180236816,0.6353659064821432,,,,B1,0,0.0,pitch+,pitch,1.25
14,4926,101294,3188.31,647.2411693057247,0.09254622459411621,0.633224574012281,,,,B1,0,0.0,pitch+,pitch,1.25
15,4428,87184,2870.51925,648.2654132791328,0.07999014854431152,0.6284214993576803,,,,B1,0,0.0,pitch+,pitch,1.25
16,5091,106001,3344.05875,656.8569534472599,0.09469223022460938,0.6284584579390761,,,,B1,0,0.0,pitch+,pitch,1.25
17,5240,99173,3289.31625,627.732108778626,0.09489870071411133,0.61991746745586,,,,B1,0,0.0,pitch+,pitch,1.25
18,4195,84527,2761.866,658.3709177592372,0.07837820053100586,0.6308082032959883,,,,B1,0,0.0,pitch+,pitch,1.25
19,5148,98986,3304.557,641.9108391608391,0.09249734878540039,0.6189243933485543,,,,B1,0,0.0,pitch+,pitch,1.25
20,4800,94279,3139.45875,654.05390625,0.08844351768493652,0.6282637172647143,,,,B1,0,0.0,pitch+,pitch,1.25
21,5057,98283,3290.415,650.6654142772395,0.09120416641235352,0.6194145986589746,,,,B1,0,0.0,pitch+,pitch,1.25
13,4619,92346,2921.65275,632.5292812297034,0.08097290992736816,0.6385820717735473,,,,A1,100,5.18,pitch+,pitch,1.25
14,4926,101294,3187.545,647.0858708891595,0.08949542045593262,0.6363604951922127,,,,A1,100,5.14,pitch+,pitch,1.25
15,4428,87184,2832.76575,639.7393292682926,0.0837850570678711,0.637393329051202,,,,A1,100,5.36,pitch+,pitch,1.25
16,5091,106001,3241.54725,636.7211255156158,0.09279561042785645,0.6448493410439524,,,,A1,100,6.04,pitch+,pitch,1.25
17,5240,99173,3179.4645,606.768034351145,0.09162497520446777,0.6377126334788703,,,,A1,100,5.13,pitch+,pitch,1.25
18,4195,84527,2676.87225,638.1101907032181,0.07362771034240723,0.6483854271416234,,,,A1,99,5.3,pitch+,pitch,1.25
19,5148,98986,3216.708,624.8461538461538,0.09313297271728516,0.631984321015093,,,,A1,100,5.11,pitch+,pitch,1.25
20,4800,94279,3018.02925,628.75609375,0.08269977569580078,0.6476752511163674,,,,A1,100,5.2,pitch+,pitch,1.25
21,5057,98283,3218.74425,636.4928317184101,0.09048295021057129,0.6346359492485985,,,,A1,100,5.06,pitch+,pitch,1.25
