week,orders,lines,n_tours,batch_cap,routing,travel_total_km,travel_per_order_m,route_calc_s,aisle_gini,tput_mean_min,tput_p90_min,block_wait_total_h,policy
17,5240,99173,5240,1,largestgap,2283.245,435.7337786259542,0.23190784454345703,0.6509279239309086,77.16137704172425,143.21053516542955,681.9163356046076,A1_pool
18,4195,84527,4195,1,largestgap,1910.823,455.50011918951134,0.190871000289917,0.6624602198114212,70.70297010724316,138.28607360854238,509.1284517013449,A1_pool
19,5148,98986,5148,1,largestgap,2309.514,448.62354312354313,0.2503845691680908,0.6437880104257168,80.44196472595601,137.34550615434347,682.2364346327279,A1_pool
20,4800,94279,4800,1,largestgap,2147.972,447.4941666666667,0.23588156700134277,0.6561050180846212,63.60593688634664,116.27203757078873,613.4298822787016,A1_pool
21,5057,98283,5057,1,largestgap,2310.185,456.8291477160372,0.28416895866394043,0.6446544672018558,80.47175495040045,143.7086330589925,721.9182838441154,A1_pool
13,4619,92346,2310,2,sshape,1902.093,411.79757523273435,0.0675954818725586,0.6443473458514717,96.03112759791543,169.9884278792432,735.7658126042074,B1_ABC
14,4926,101294,2463,2,sshape,2073.604,420.95087291920424,0.062186241149902344,0.6423791142614568,116.89410854864315,174.71045728901558,793.0921199475628,B1_ABC
15,4428,87184,2214,2,sshape,1868.999,422.086495031617,0.05089735984802246,0.6375567764727473,96.05310572619227,200.3220151751961,670.720424424889,B1_ABC
16,5091,106001,2546,2,sshape,2159.75,424.22903162443527,0.05652904510498047,0.6393970339902454,120.21837572009389,197.1161601405882,849.2528379789788,B1_ABC
17,5240,99173,2620,2,sshape,2148.018,409.9270992366412,0.05926799774169922,0.6325035543948454,109.03795818600442,188.64350125086682,802.518742628377,B1_ABC
18,4195,84527,2098,2,sshape,1773.292,422.7156138259833,0.06305146217346191,0.6418697575922486,90.1741187868857,166.94332543181906,592.3607696737927,B1_ABC
19,5148,98986,2574,2,sshape,2145.014,416.66938616938614,0.07295942306518555,0.6283449174630756,108.36287958657854,174.91168040299422,800.4809729905091,B1_ABC
20,4800,94279,2400,2,sshape,2033.901,423.729375,0.05452561378479004,0.6370907094899182,92.33746495506189,145.27870231328066,760.091328746445,B1_ABC
21,5057,98283,2529,2,sshape,2138.873,422.9529365236306,0.05618119239807129,0.6297292003703591,93.92775723421579,145.6038222952706,769.8024205631449,B1_ABC
13,4619,92346,2310,2,sshape,1882.86,407.63368694522626,0.051316022872924805,0.6494439390986074,89.29045595120543,157.1133653857518,714.1501011366697,A1_pool
14,4926,101294,2463,2,sshape,2050.043,416.16788469346324,0.057926177978515625,0.6478182320769246,114.69764298801962,175.46476741629485,789.0370358521657,A1_pool
15,4428,87184,2214,2,sshape,1819.472,410.9015356820235,0.054314374923706055,0.6501060974490732,90.94277715484392,169.8584009786011,660.284721177679,A1_pool
16,5091,106001,2546,2,sshape,2085.778,409.69907680219995,0.0731496810913086,0.6534568070112546,105.56669255976612,169.491554855743,840.027583884737,A1_pool
17,5240,99173,2620,2,sshape,2072.695,395.55248091603056,0.07324337959289551,0.6509279239309086,110.30247904125757,188.66349856327318,830.2958350103946,A1_pool
18,4195,84527,2098,2,sshape,1709.684,407.5528009535161,0.0489039421081543,0.6624602198114212,92.56081196489832,170.52354539813987,642.3788183299074,A1_pool
19,5148,98986,2574,2,sshape,2085.964,405.1989121989122,0.056337594985961914,0.6437880104257168,120.29563456287838,214.06713110235972,856.7400266283034,A1_pool
20,4800,94279,2400,2,sshape,1949.749,406.1977083333333,0.051268815994262695,0.6561050180846212,94.18761917214799,141.99948952559595,783.5183755704905,A1_pool
21,5057,98283,2529,2,sshape,2083.158,411.9355349021159,0.054384708404541016,0.6446544672018558,87.6458828369641,144.83244926117973,753.3328113087631,A1_pool
13,4619,92346,1155,4,sshape,1320.115,285.801039185971,0.04619431495666504,0.6443473458514717,76.43362871602861,130.16082898001866,563.5189831275444,B1_ABC
14,4926,101294,1232,4,sshape,1437.794,291.87860332927323,0.029779672622680664,0.6423791142614568,84.23632005518377,126.81283065047135,645.1285993402445,B1_ABC
