week,orders,lines,travel_total_km,travel_per_order_m,route_calc_s,aisle_gini,tput_mean_min,tput_p90_min,block_wait_total_h,policy,moves,opt_time_s,cell,factor,level
21,5057,98283,3781.194,747.7148507019972,0.06563830375671387,0.4481543094940122,250.04261134496377,431.641222646551,1233.3121184436734,A1,100,4.87,F_1_1.0,blocksxpitch,1|1.0
13,4619,92346,4314.688,934.1173414158909,0.7101976871490479,0.4078844779416542,339.847129105046,575.79684263993,1358.4586384184001,B1,0,0.0,F_1_1.25,blocksxpitch,1|1.25
14,4926,101294,4658.927,945.782988225741,0.069000244140625,0.405621260884159,380.32570613644475,616.8644151802007,1496.1016250951893,B1,0,0.0,F_1_1.25,blocksxpitch,1|1.25
15,4428,87184,4186.107,945.3719512195122,0.0896000862121582,0.40398926408515323,338.03001082174984,611.3328018299728,1205.128741843873,B1,0,0.0,F_1_1.25,blocksxpitch,1|1.25
16,5091,106001,4848.562,952.3791003732076,0.14823341369628906,0.39938915670606884,388.9781557495176,641.7473859788889,1500.0380975252074,B1,0,0.0,F_1_1.25,blocksxpitch,1|1.25
17,5240,99173,4749.771,906.4448473282442,0.10475015640258789,0.3931992578625231,374.4439903897044,656.8803429314653,1449.8910054021921,B1,0,0.0,F_1_1.25,blocksxpitch,1|1.25
18,4195,84527,4011.5275,956.2640047675804,0.056441545486450195,0.4078832798987306,315.1827702962919,596.6670375266065,1173.5014236057063,B1,0,0.0,F_1_1.25,blocksxpitch,1|1.25
19,5148,98986,4775.485,927.6388888888889,0.06742548942565918,0.3946376255228012,383.4224720353789,639.49018696756,1475.1998859574805,B1,0,0.0,F_1_1.25,blocksxpitch,1|1.25
20,4800,94279,4566.925,951.4427083333334,0.06277966499328613,0.4060411120185831,351.2086419516378,572.0524806464416,1380.035900506217,B1,0,0.0,F_1_1.25,blocksxpitch,1|1.25
21,5057,98283,4724.9915,934.346747083251,0.06664276123046875,0.3963172674826776,358.88982960899455,604.2286046234727,1451.306490113476,B1,0,0.0,F_1_1.25,blocksxpitch,1|1.25
13,4619,92346,4301.145,931.1853214981597,0.060694217681884766,0.4099495376085591,321.82032862088073,564.5376494339558,1337.6057536118471,A1,100,5.24,F_1_1.25,blocksxpitch,1|1.25
14,4926,101294,4627.6625,939.4361550954121,0.06447863578796387,0.4129849744308646,352.59619104103234,575.3272398013272,1400.6795075239907,A1,100,5.2,F_1_1.25,blocksxpitch,1|1.25
15,4428,87184,4156.0465,938.5832204155375,0.05842280387878418,0.40880092677555513,366.7655244190074,668.4120187225903,1291.886359026633,A1,100,5.44,F_1_1.25,blocksxpitch,1|1.25
16,5091,106001,4820.815,946.9288941268906,0.06663632392883301,0.4064353166479561,381.56523836952175,632.990584204374,1500.1278602889345,A1,100,5.27,F_1_1.25,blocksxpitch,1|1.25
17,5240,99173,4717.4425,900.275286259542,0.06960630416870117,0.4044190455063374,385.0222414768693,646.5877206541645,1470.7127399242286,A1,100,5.3,F_1_1.25,blocksxpitch,1|1.25
18,4195,84527,3945.957,940.6333730631704,0.05645585060119629,0.41985696877920664,299.25902262523215,562.6876855676433,1092.8924574108792,A1,100,5.19,F_1_1.25,blocksxpitch,1|1.25
19,5148,98986,4717.7255,916.4190947940948,0.06739258766174316,0.4059604388499384,354.44957263154953,589.9722625012362,1379.0881722600495,A1,100,5.92,F_1_1.25,blocksxpitch,1|1.25
20,4800,94279,4495.479,936.558125,0.06276226043701172,0.42047380646803634,347.53982387661466,573.056707129163,1418.8797547735337,A1,100,5.25,F_1_1.25,blocksxpitch,1|1.25
21,5057,98283,4695.779,928.5701008503065,0.07100725173950195,0.4074850177548508,367.06425750244057,618.0265985745092,1501.8307601483523,A1,99,5.26,F_1_1.25,blocksxpitch,1|1.25
13,4619,92346,2049.426,443.6947391210219,0.08765602111816406,0.6514266995863384,46.01591958481292,85.38835422059479,500.3136431336976,B1,0,0.0,F_2_0.8,blocksxpitch,2|0.8
14,4926,101294,2224.3392000000003,451.55079171741784,0.09888553619384766,0.6534414674116927,72.12905708792213,120.07119275350657,612.691962889779,B1,0,0.0,F_2_0.8,blocksxpitch,2|0.8
15,4428,87184,2007.4176,453.34634146341466,0.08373093605041504,0.6481665213800697,63.782751234132,135.4766945346864,516.8239837889528,B1,0,0.0,F_2_0.8,blocksxpitch,2|0.8
16,5091,106001,2326.0392,456.8923983500295,0.09584283828735352,0.649118640390185,63.482097563362544,97.1802842942098,633.5873024885789,B1,0,0.0,F_2_0.8,blocksxpitch,2|0.8
17,5240,99173,2280.0612,435.12618320610693,0.09875774383544922,0.6404764905770723,55.1969006851616,99.33013083273188,565.249258283343,B1,0,0.0,F_2_0.8,blocksxpitch,2|0.8
