week,orders,lines,travel_total_km,travel_per_order_m,route_calc_s,aisle_gini,tput_mean_min,tput_p90_min,block_wait_total_h,moves,w,policy
101,604,14012,424.14,702.2185430463576,0.010909080505371094,0.5996859834427634,15.873005239624053,30.837222222218436,3.0493638566598666,0,101,B1_ABC_static
102,626,13127,400.848,640.332268370607,0.011067867279052734,0.6006189533023539,14.217006491503929,28.483333333334063,0.5202121724694709,0,102,B1_ABC_static
103,482,12830,356.58,739.792531120332,0.009734630584716797,0.5614263445050662,17.123013691356565,33.55666666666645,2.865987765009908,0,103,B1_ABC_static
62,287,7530,232.536,810.2299651567944,0.005798816680908203,0.638074369189907,17.949017315369666,33.68716666666384,0.3461328251832957,100,62,A1_pool
63,284,7102,215.76,759.7183098591549,0.005614042282104492,0.6398479301605182,16.862122456964073,31.25666666666642,0.15293518518514249,100,63,A1_pool
64,287,7057,206.556,719.7073170731708,0.0051250457763671875,0.6554945444239761,16.24191929304567,30.553333333333693,0.7110695072900954,100,64,A1_pool
65,334,7759,238.068,712.7784431137725,0.0064067840576171875,0.6502029900760408,16.260590221631592,32.46999999999767,2.834507789304601,100,65,A1_pool
66,319,8023,242.646,760.6457680250784,0.010567188262939453,0.6626667082138851,17.014898302672552,32.50925740926366,0.7747648647649394,100,66,A1_pool
67,351,8320,251.76,717.2649572649573,0.01148843765258789,0.6679326923076923,16.099600743906343,32.066666666665455,1.1382199074073975,100,67,A1_pool
68,312,7399,235.464,754.6923076923077,0.006519317626953125,0.6544093796458981,16.629708152424467,30.15333333333329,0.5150379481629792,100,68,A1_pool
69,353,6886,243.87,690.8498583569406,0.006617307662963867,0.683967470229451,14.991713824265144,27.65999999999811,1.3318052216483183,100,69,A1_pool
70,266,7355,190.848,717.4736842105264,0.004866838455200195,0.6561828687967369,17.49297554976153,36.545386530680936,4.10830271505378,100,70,A1_pool
71,208,4365,147.684,710.0192307692307,0.0038840770721435547,0.6453894616265751,15.439904854760666,32.316666666666436,0.3766701631701567,99,71,A1_pool
72,354,6990,222.168,627.5932203389831,0.006639242172241211,0.673555078683834,13.826953373595789,25.586666666666662,0.44902490421455543,100,72,A1_pool
73,399,8519,271.11,679.4736842105264,0.007168769836425781,0.6865741284188285,16.579234976430268,33.526666666668994,11.259412593261683,99,73,A1_pool
74,427,7554,259.74,608.2903981264637,0.0074024200439453125,0.6848557055864443,13.121448966723982,24.633333333333436,0.2476451465201444,100,74,A1_pool
75,336,6022,202.23,601.875,0.0076100826263427734,0.6874626369976752,13.047971386252605,27.250000000000487,0.16586198523689138,100,75,A1_pool
76,249,5567,161.484,648.5301204819277,0.00456690788269043,0.6896398419256332,14.598153199070024,27.580000000000606,0.261780220584648,100,76,A1_pool
77,388,7738,257.424,663.4639175257732,0.006995201110839844,0.6705091754975446,14.81120638300247,29.1600000000033,2.7780234989708092,100,77,A1_pool
78,348,6351,211.824,608.6896551724138,0.008915185928344727,0.671323413635648,13.275024267984103,25.473333333334306,0.5134740876408108,100,78,A1_pool
79,323,6403,205.914,637.5046439628483,0.0057027339935302734,0.671009682961112,13.981803017732917,26.953333333332264,0.2842618010166977,100,79,A1_pool
80,270,5399,162.69,602.5555555555555,0.006824970245361328,0.6418549731431746,13.412959533607586,25.110000000010185,0.16942901234564123,100,80,A1_pool
81,350,8628,236.01,674.3142857142857,0.0063478946685791016,0.6136648122392211,15.52057982308687,28.56333333333324,1.0117156346738436,100,81,A1_pool
82,312,7122,216.498,693.9038461538462,0.0057146549224853516,0.6287910699241785,15.38117909867921,28.27333333333413,0.0604646464647764,100,82,A1_pool
83,347,7699,231.426,666.9337175792507,0.0060536861419677734,0.6503409533705676,14.91096689893534,28.572499999999714,0.5639807877307789,100,83,A1_pool
84,330,6521,214.974,651.4363636363636,0.00578761100769043,0.6576023616009814,14.18580808080791,26.399999999998453,0.19305555555555556,100,84,A1_pool
85,306,6084,197.676,646.0,0.0055277347564697266,0.666009204470743,14.08562091503267,26.60000000000485,0.02666666666666667,100,85,A1_pool
86,262,5811,170.76,651.7557251908397,0.026943683624267578,0.6776587506453279,14.561492790500244,28.77,0.010185185185206743,100,86,A1_pool
87,308,5384,192.642,625.461038961039,0.005309104919433594,0.681324294205052,13.337770562770686,23.873333333331843,0.0,100,87,A1_pool
88,348,6077,217.884,626.1034482758621,0.008996963500976562,0.6708449893039329,13.356960408684332,26.72333333333217,0.06648148148147609,100,88,A1_pool
89,268,7401,192.558,718.5,0.005618572235107422,0.6409167680043237,16.959149281691843,35.44333333332422,1.7042001248893273,100,89,A1_pool
90,375,7661,255.816,682.176,0.009969949722290039,0.6600998564156115,14.914530354336984,28.15999999999418,0.87525915905043,100,90,A1_pool
91,358,7527,236.064,659.3966480446927,0.006544589996337891,0.6748007174172977,14.523213042905889,28.57333333333445,0.17350448933782495,100,91,A1_pool
92,454,9605,294.432,648.5286343612335,0.008060932159423828,0.6729541905257679,14.549967019330516,27.48641025640895,1.6275282240449769,100,92,A1_pool
93,420,8592,274.56,653.7142857142857,0.007475376129150391,0.6687267225325885,14.342228134147868,27.413333333328776,0.2622636057004315,100,93,A1_pool
94,453,9618,284.538,628.1192052980133,0.007743120193481445,0.6818985236015803,14.147308345729762,27.113333333333337,1.0571780102609691,100,94,A1_pool
95,429,9139,272.01,634.0559440559441,0.007901191711425781,0.6727513951198162,14.135975567642024,28.053333333333423,0.12778086419752477,100,95,A1_pool
96,420,9432,277.392,660.4571428571429,0.007820606231689453,0.6687712044105174,14.866701842509679,28.669999999996655,0.8135795642359396,100,96,A1_pool
97,496,9821,314.202,633.4717741935484,0.008744001388549805,0.6800911312493636,13.932917540645542,26.766666666669092,0.619896113780944,100,97,A1_pool
98,520,11528,321.714,618.6807692307692,0.008507251739501953,0.6691967383761277,14.169150208830006,27.59333333333334,1.4120795876379886,100,98,A1_pool
99,607,13306,378.48,623.5255354200989,0.010687828063964844,0.6803209078611153,14.179720302474436,26.526666666665502,1.3570592822544292,100,99,A1_pool
100,666,14687,400.056,600.6846846846847,0.010754108428955078,0.679248655273371,13.913480955083092,28.033333333333335,2.5157497125334998,100,100,A1_pool
101,604,14012,372.828,617.2649006622516,0.011765480041503906,0.6810626605766485,14.334885099935445,28.416666666665364,1.818954450460448,100,101,A1_pool
102,626,13127,354.756,566.702875399361,0.010696649551391602,0.6789727279652624,13.069116577883912,25.183333333330893,1.3472274070338108,100,102,A1_pool
103,482,12830,322.326,668.7261410788382,0.00866842269897461,0.646215900233827,15.809582894288381,30.03666666666265,1.8297603618933185,100,103,A1_pool
62,287,7530,244.512,851.9581881533101,0.005890369415283203,0.608539176626826,18.6378341250922,34.719999999999615,0.3143065650237097,100,62,reABC_budgeted
63,284,7102,227.742,801.9084507042254,0.0054454803466796875,0.6085820895522388,17.60453647538821,33.96000000000088,0.338694872393394,100,63,reABC_budgeted
64,287,7057,220.824,769.4216027874564,0.0052738189697265625,0.6144927022814227,17.019623085006582,31.793333333333745,0.46775264550264234,100,64,reABC_budgeted
65,334,7759,254.166,760.9760479041917,0.0063326358795166016,0.6146120634102332,16.98981669832658,32.63481481481462,2.42220184290702,100,65,reABC_budgeted
66,319,8023,258.642,810.7899686520376,0.0061266422271728516,0.6212108936806681,17.945673585193084,34.64508771929715,1.2800534501664838,100,66,reABC_budgeted
67,351,8320,268.716,765.5726495726495,0.006577253341674805,0.6268930288461538,17.17530901012354,35.299999999995634,2.7211132647764034,100,67,reABC_budgeted
68,312,7399,251.352,805.6153846153846,0.006751537322998047,0.615289228274091,17.44371006244069,31.049999999996526,0.33451454691393234,100,68,reABC_budgeted
69,353,6886,262.104,742.5042492917847,0.006840705871582031,0.6484751670055184,15.851065615814468,29.659999999999233,1.3226582619303695,100,69,reABC_budgeted
70,266,7355,206.304,775.578947368421,0.0051021575927734375,0.614082256968049,18.024517632259677,34.36750478927191,2.1714726141284135,100,70,reABC_budgeted
71,208,4365,156.534,752.5673076923077,0.004688739776611328,0.6114375715922108,16.14523064742422,34.09666666666674,0.363466244403745,100,71,reABC_budgeted
72,354,6990,237.852,671.8983050847457,0.006738185882568359,0.6392131616595136,14.588283142365013,27.260000000001025,0.584203873287104,100,72,reABC_budgeted
73,399,8519,288.87,723.984962406015,0.008463144302368164,0.6520982509684236,17.53864560415202,35.380000000000386,12.49467340229045,100,73,reABC_budgeted
74,427,7554,275.502,645.2037470725995,0.007574558258056641,0.657188244638602,13.877461469344782,26.30666666666667,1.2496007901697561,100,74,reABC_budgeted
75,336,6022,216.75,645.0892857142857,0.005953788757324219,0.6565094652939223,13.803301091269873,27.49999999999806,0.3623749999999806,100,75,reABC_budgeted
76,249,5567,177.684,713.5903614457832,0.005078315734863281,0.6526450511945392,15.917920531945892,29.473333333332956,1.2388146520202605,100,76,reABC_budgeted
77,388,7738,277.272,714.6185567010309,0.007042646408081055,0.6350995089170328,15.724541199139617,30.829999999992733,3.1709219766588568,100,77,reABC_budgeted
78,348,6351,227.364,653.3448275862069,0.006272315979003906,0.6379270980947882,13.950915283098988,27.273333333333337,0.11697530864196273,100,78,reABC_budgeted
79,323,6403,223.008,690.4272445820434,0.005856037139892578,0.6276393877869748,14.884871102207416,28.826666666654447,0.39744498910678483,100,79,reABC_budgeted
80,270,5399,173.142,641.2666666666667,0.004694700241088867,0.6105158362659752,14.118697802802323,28.310000000007083,0.44191789038843715,100,80,reABC_budgeted
81,350,8628,251.358,718.1657142857143,0.00654292106628418,0.5688398238293927,16.219617303564657,29.536017156865906,0.8261009374611692,100,81,reABC_budgeted
82,312,7122,222.324,712.5769230769231,0.005877971649169922,0.5978166245436675,15.71752726440235,29.193333333328436,0.19114177489182718,100,82,reABC_budgeted
83,347,7699,238.65,687.7521613832853,0.007062435150146484,0.6176419015456552,15.265428651826376,29.27999999999886,0.6072845919513684,100,83,reABC_budgeted
84,330,6521,226.602,686.6727272727272,0.005955219268798828,0.6305742984204876,14.761382654869367,27.680000000000668,0.12871571289338235,100,84,reABC_budgeted
85,306,6084,200.73,655.9803921568628,0.005523681640625,0.6558760683760684,14.342983452640299,26.15,0.4908822751323492,100,85,reABC_budgeted
86,262,5811,182.766,697.5801526717557,0.004906654357910156,0.6516305283083806,15.324885496183326,29.216666666665787,0.00866666666668607,100,86,reABC_budgeted
87,308,5384,206.958,671.9415584415584,0.005628108978271484,0.6510865527488856,14.145122204184835,25.98666666666686,0.16773842592592803,100,87,reABC_budgeted
88,348,6077,229.488,659.448275862069,0.006341695785522461,0.6476756623333881,13.932267016001807,27.193333333338455,0.1799264705882605,100,88,reABC_budgeted
89,268,7401,197.334,736.320895522388,0.005335569381713867,0.6281414673692745,17.11636611170981,36.043333333333294,1.079768632303634,100,89,reABC_budgeted
90,375,7661,260.4,694.4,0.006827116012573242,0.6447559065396162,15.083546695918418,27.686666666672107,0.6582779606016831,100,90,reABC_budgeted
91,358,7527,253.044,706.8268156424581,0.006686210632324219,0.6419589477879634,15.350192356219628,30.796666666665462,0.39114772544335136,100,91,reABC_budgeted
92,454,9605,315.228,694.3348017621146,0.008092164993286133,0.6416111400312338,15.2768715163236,28.726666666664723,1.3511055846268674,100,92,reABC_budgeted
93,420,8592,287.628,684.8285714285714,0.007451295852661133,0.6387220670391062,14.882906404442371,29.040000000005247,0.41701149776145435,100,93,reABC_budgeted
94,453,9618,306.45,676.4900662251656,0.007930278778076172,0.6443751299646496,14.913763290139837,28.879999999998752,0.7572461738898063,100,94,reABC_budgeted
95,429,9139,288.39,672.2377622377622,0.00812673568725586,0.639531130320604,14.8277109751509,29.440000000003057,0.5236890278840363,100,95,reABC_budgeted
96,420,9432,300.264,714.9142857142857,0.007895708084106445,0.6282336726039016,15.81061585489763,30.283333333334244,1.0676443176169712,100,96,reABC_budgeted
97,496,9821,328.878,663.0604838709677,0.01227712631225586,0.6511022299154873,14.513784867441125,28.433333333327756,1.345066015289854,100,97,reABC_budgeted
98,520,11528,349.29,671.7115384615385,0.009227991104125977,0.6291984732824427,15.106896562599244,29.27666666666861,1.8792146536391272,100,98,reABC_budgeted
99,607,13306,398.472,656.4612850082373,0.01053619384765625,0.6449421313693071,14.778335427223663,28.36000000000116,1.8597156276352729,100,99,reABC_budgeted
100,666,14687,426.87,640.9459459459459,0.011591196060180664,0.63984646285831,14.707128348864524,29.033333333330877,3.8769024501729565,100,100,reABC_budgeted
101,604,14012,400.974,663.864238410596,0.012462377548217773,0.6401156151869826,15.20609496188697,30.5233333333279,2.7708003941067605,100,101,reABC_budgeted
102,626,13127,379.11,605.6070287539936,0.011178731918334961,0.6435038470328331,13.723672751028955,27.60000000000085,1.4114301468465278,100,102,reABC_budgeted
103,482,12830,339.438,704.2282157676349,0.009207725524902344,0.6017030397505846,16.586526323529394,31.999999999992976,3.3178725767981025,100,103,reABC_budgeted
